year,occ_desc,estab_size1,estab_size2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2021,waste truck driver (including hooklift trucks with roll-on containers),all,at least 200 employees,3316,1900
2021,crane/hoist operator (excluding port),all,at least 200 employees,5336,2400
2021,crane/hoist operator (excluding port),all,less than 200 employees,5123,3000
2021,crane operator (on-site),all,at least 200 employees,3916,2572
2021,fork lift truck operator,all,less than 200 employees,2005,1899
2021,ships' deck crew and related worker,all,at least 200 employees,2714,1952
2021,cleaning supervisor,all,at least 200 employees,2277,1800
2021,cleaning supervisor,all,less than 200 employees,1876,1860
2021,cleaner and helper in hotels and related establishments,all,at least 200 employees,2197,1912
2021,cleaner and helper in hotels and related establishments,all,less than 200 employees,1636,1547
2021,"office, commercial and industrial establishments indoor cleaner",all,at least 200 employees,1452,1300
2021,"office, commercial and industrial establishments indoor cleaner",all,less than 200 employees,1400,1400
2021,"office, commercial and industrial establishments outdoor cleaner",all,at least 200 employees,1640,1450
2021,"office, commercial and industrial establishments multi-skilled cleaner cum machine operator",all,at least 200 employees,1500,1400
2021,food and beverage establishments general cleaner,all,at least 200 employees,1674,1400
2021,food and beverage establishments general cleaner,all,less than 200 employees,1400,1400
2021,dishwasher,all,less than 200 employees,1400,1400
2021,residential and open areas general cleaner,all,at least 200 employees,1450,1236
2021,"park, garden and landscape maintenance worker",all,at least 200 employees,1500,1500
2021,"park, garden and landscape maintenance worker",all,less than 200 employees,1450,1450
2021,civil engineering/building construction labourer,all,less than 200 employees,1400,1400
2021,hand packer,all,at least 200 employees,1577,1522
2021,hand packer,all,less than 200 employees,1450,1400
2021,aircraft loader (e.g. airport baggage/cargo handler),all,less than 200 employees,2000,1800
2021,warehouse worker,all,at least 200 employees,2681,2395
2021,warehouse worker,all,less than 200 employees,2100,1850
2021,vehicle attendant,all,less than 200 employees,1655,1500
2021,kitchen assistant,all,at least 200 employees,1914,1500
2021,kitchen assistant,all,less than 200 employees,1400,1400
2021,food/drink stall assistant,all,less than 200 employees,1400,1400
2021,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",all,at least 200 employees,1450,1400
2021,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",all,less than 200 employees,1405,1405
2021,porter and related worker,all,at least 200 employees,1718,1611
2021,attendant,all,at least 200 employees,1947,1750
2021,attendant,all,less than 200 employees,1539,1539
2021,hospital/clinic attendant,all,at least 200 employees,1947,1750
2021,hospital/clinic attendant,all,less than 200 employees,2900,1895
2021,car park attendant,all,less than 200 employees,1435,1435
2021,building caretaker/watchman,all,less than 200 employees,2227,2190
2021,odd job person,all,less than 200 employees,1400,1400
